packet_count,X,Y,Z
43,-0.4130859375,-0.087890625,0.9189453125
44,-0.4130859375,-0.0869140625,0.9189453125
45,-0.4140625,-0.0869140625,0.9189453125
46,-0.4140625,-0.087890625,0.9189453125
47,-0.4130859375,-0.087890625,0.9189453125
48,-0.4130859375,-0.087890625,0.9189453125
49,-0.4130859375,-0.087890625,0.9189453125
50,-0.4130859375,-0.087890625,0.9189453125
51,-0.4130859375,-0.0869140625,0.9189453125
52,-0.4130859375,-0.0869140625,0.9189453125
53,-0.4130859375,-0.0869140625,0.9189453125
54,-0.4130859375,-0.087890625,0.9189453125
55,-0.4130859375,-0.087890625,0.9189453125
56,-0.4130859375,-0.087890625,0.9189453125
57,-0.4130859375,-0.087890625,0.9189453125
58,-0.4130859375,-0.087890625,0.9189453125
59,-0.4130859375,-0.087890625,0.9189453125
60,-0.4130859375,-0.087890625,0.9189453125
61,-0.4140625,-0.087890625,0.9189453125
62,-0.4140625,-0.087890625,0.9189453125
63,-0.4140625,-0.087890625,0.9189453125
64,-0.4140625,-0.087890625,0.9189453125
65,-0.4130859375,-0.087890625,0.9189453125
66,-0.4130859375,-0.087890625,0.9189453125
67,-0.4130859375,-0.087890625,0.9189453125
68,-0.4130859375,-0.087890625,0.9189453125
69,-0.4130859375,-0.087890625,0.9189453125
70,-0.4130859375,-0.087890625,0.9189453125
71,-0.4130859375,-0.087890625,0.91796875
72,-0.4130859375,-0.087890625,0.91796875
73,-0.4130859375,-0.087890625,0.9189453125
74,-0.4130859375,-0.087890625,0.9189453125
75,-0.4130859375,-0.087890625,0.9189453125
76,-0.4130859375,-0.087890625,0.91796875
77,-0.4130859375,-0.087890625,0.91796875
78,-0.4130859375,-0.087890625,0.91796875
79,-0.4130859375,-0.087890625,0.91796875
80,-0.4130859375,-0.087890625,0.91796875
81,-0.4140625,-0.087890625,0.9189453125
82,-0.4140625,-0.087890625,0.9189453125
83,-0.4140625,-0.087890625,0.9189453125
84,-0.4140625,-0.087890625,0.9189453125
85,-0.4140625,-0.087890625,0.9189453125
86,-0.4140625,-0.087890625,0.91796875
87,-0.4140625,-0.087890625,0.91796875
88,-0.4140625,-0.087890625,0.91796875
89,-0.4140625,-0.0869140625,0.91796875
90,-0.4140625,-0.0869140625,0.91796875
91,-0.4140625,-0.0869140625,0.91796875
92,-0.4140625,-0.0869140625,0.91796875
93,-0.4140625,-0.0869140625,0.91796875
94,-0.4140625,-0.0869140625,0.91796875
95,-0.4140625,-0.0869140625,0.91796875
96,-0.4140625,-0.0869140625,0.91796875
97,-0.4140625,-0.0869140625,0.91796875
98,-0.4140625,-0.0869140625,0.91796875
99,-0.4140625,-0.0869140625,0.91796875
100,-0.4140625,-0.0869140625,0.91796875
101,-0.4140625,-0.0869140625,0.91796875
102,-0.4140625,-0.0869140625,0.91796875
103,-0.4140625,-0.0869140625,0.91796875
104,-0.4140625,-0.0869140625,0.91796875
105,-0.4140625,-0.0869140625,0.91796875
106,-0.4140625,-0.0869140625,0.91796875
107,-0.4140625,-0.0869140625,0.91796875
108,-0.4140625,-0.0869140625,0.91796875
109,-0.4140625,-0.0869140625,0.91796875
110,-0.4140625,-0.0869140625,0.91796875
111,-0.4140625,-0.0869140625,0.91796875
112,-0.4140625,-0.0869140625,0.91796875
113,-0.4140625,-0.0869140625,0.91796875
114,-0.4140625,-0.0869140625,0.91796875
115,-0.4140625,-0.0869140625,0.91796875
116,-0.4140625,-0.0869140625,0.91796875
117,-0.4140625,-0.0869140625,0.91796875
118,-0.4140625,-0.0869140625,0.91796875
119,-0.4140625,-0.0869140625,0.91796875
120,-0.4140625,-0.0869140625,0.91796875
121,-0.4140625,-0.0869140625,0.91796875
122,-0.4140625,-0.0859375,0.91796875
123,-0.4140625,-0.0859375,0.91796875
124,-0.4140625,-0.0859375,0.9169921875
125,-0.4140625,-0.0859375,0.9169921875
126,-0.4140625,-0.0859375,0.9169921875
127,-0.4140625,-0.0859375,0.9169921875
128,-0.4140625,-0.0859375,0.9169921875
129,-0.4140625,-0.0859375,0.91796875
130,-0.4140625,-0.0859375,0.91796875
131,-0.4140625,-0.0869140625,0.91796875
132,-0.4140625,-0.0869140625,0.91796875
133,-0.4140625,-0.0869140625,0.91796875
134,-0.4140625,-0.0859375,0.9169921875
135,-0.4140625,-0.0859375,0.9169921875
136,-0.4140625,-0.0859375,0.9169921875
137,-0.4140625,-0.0859375,0.9169921875
138,-0.4140625,-0.0859375,0.9169921875
139,-0.4140625,-0.0859375,0.9169921875
140,-0.4140625,-0.0859375,0.9169921875
141,-0.4140625,-0.0859375,0.9169921875
142,-0.4140625,-0.0849609375,0.9169921875
143,-0.4140625,-0.0849609375,0.9169921875
144,-0.4140625,-0.0859375,0.9169921875
145,-0.4140625,-0.0859375,0.91796875
146,-0.4140625,-0.0859375,0.9169921875
147,-0.4140625,-0.0859375,0.9169921875
148,-0.4140625,-0.0859375,0.9169921875
149,-0.4140625,-0.0859375,0.9169921875
150,-0.4140625,-0.0859375,0.9169921875
151,-0.4140625,-0.0859375,0.91796875
152,-0.4150390625,-0.0859375,0.91796875
153,-0.4150390625,-0.0859375,0.91796875
154,-0.4150390625,-0.0859375,0.91796875
155,-0.4150390625,-0.0859375,0.91796875
156,-0.4150390625,-0.0849609375,0.91796875
157,-0.4150390625,-0.0859375,0.91796875
158,-0.4150390625,-0.0859375,0.91796875
159,-0.4150390625,-0.0859375,0.91796875
160,-0.4150390625,-0.0859375,0.91796875
161,-0.4150390625,-0.0859375,0.91796875
162,-0.4150390625,-0.0859375,0.91796875
163,-0.4140625,-0.0859375,0.91796875
164,-0.4150390625,-0.0859375,0.91796875
165,-0.4150390625,-0.0849609375,0.91796875
166,-0.4150390625,-0.0859375,0.91796875
167,-0.4150390625,-0.0859375,0.91796875
168,-0.4150390625,-0.0859375,0.91796875
169,-0.4150390625,-0.0859375,0.91796875
170,-0.4150390625,-0.0859375,0.91796875
171,-0.4150390625,-0.0859375,0.91796875
172,-0.4150390625,-0.0859375,0.91796875
173,-0.4150390625,-0.0859375,0.91796875
174,-0.4150390625,-0.0859375,0.91796875
175,-0.4150390625,-0.0859375,0.91796875
176,-0.4140625,-0.0859375,0.9169921875
177,-0.4140625,-0.0859375,0.91796875
