packet_count,acc_x,acc_y,acc_z,a_mag
199,-0.9730719999999999,-0.05856,0.372222,1.043478609300641
200,-0.978318,-0.070882,0.36514599999999997,1.046643190568782
201,-0.97173,-0.064294,0.369782,1.0416965195583596
202,-0.97295,-0.068198,0.380884,1.0470698597323869
203,-0.969656,-0.052582,0.379786,1.0427056300106947
204,-0.96502,-0.053436,0.379054,1.038171922858637
205,-0.969778,-0.055265999999999996,0.36905,1.0390965318679493
206,-0.976366,-0.052826,0.372832,1.0464630201091676
207,-0.970754,-0.059292,0.37624799999999997,1.0428045968847663
208,-0.968436,-0.054046,0.38003,1.0417351184979797
209,-0.966118,-0.055998,0.38308,1.0408026000774595
210,-0.972584,-0.054534,0.384422,1.0472219766104987
211,-0.972584,-0.055022,0.384178,1.0471579600155843
212,-0.967094,-0.052337999999999996,0.385276,1.0423280036802234
213,-0.967948,-0.047702,0.388936,1.044255727110941
214,-0.966606,-0.054655999999999996,0.390522,1.0439453386341642
215,-0.963556,-0.05063,0.388936,1.0403243600589192
216,-0.966484,-0.052216,0.391986,1.0442561262008474
217,-0.970388,-0.050873999999999996,0.393694,1.0484445622234873
218,-0.962824,-0.051484,0.396866,1.0426808136663877
219,-0.954162,-0.049654,0.39283999999999997,1.0330604568755886
220,-0.95465,-0.048312,0.397354,1.035171905124941
221,-0.959042,-0.05185,0.394914,1.038463792175731
222,-0.9490379999999999,-0.052094,0.403576,1.032598904733101
223,-0.9551379999999999,-0.043188,0.401868,1.0371362937492834
224,-0.9465979999999999,-0.038918,0.399184,1.0280614038976466
225,-0.951112,-0.050386,0.402966,1.0341829541701024
226,-0.9612379999999999,-0.049654,0.404064,1.0438925847308236
227,-0.9575779999999999,-0.043798,0.40565,1.0408774247662402
228,-0.9606279999999999,-0.042578,0.40516199999999997,1.04344395475368
229,-0.955992,-0.046482,0.412238,1.042123528681701
230,-0.961482,-0.0427,0.408578,1.045565353484898
231,-0.9594079999999999,-0.043676,0.413092,1.0454742004965976
232,-0.956114,-0.042456,0.407358,1.0401427945700532
